                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 2.2201,                  1.262,                0.97382,                0.66778,                0.59559,                0.60282,                0.20071,                 2.2485,                 1.3424,                 0.9917,              0.0004358,              0.0004358,              0.0004358
                     81,                 2.1899,                 1.2666,                0.97609,                0.60485,                0.53271,                 0.5127,                0.15461,                 2.4642,                 1.4331,                 1.0222,               0.000416,               0.000416,               0.000416
                     82,                 2.2267,                 1.2592,                 0.9749,                0.68357,                 0.5687,                0.59008,                0.19669,                 2.2696,                 1.3423,                0.99642,              0.0003962,              0.0003962,              0.0003962
                     83,                 2.1884,                  1.247,                0.97139,                0.65072,                0.55489,                0.56363,                 0.1811,                 2.3353,                 1.3779,                 1.0053,              0.0003764,              0.0003764,              0.0003764
                     84,                 2.2154,                 1.2649,                0.98682,                0.44377,                 0.3525,                0.28571,                0.07036,                 2.9305,                 1.6371,                 1.1023,              0.0003566,              0.0003566,              0.0003566
                     85,                 2.1953,                 1.2714,                0.97763,                0.73626,                0.61987,                0.65504,                0.23165,                 2.1664,                 1.2843,                0.97812,              0.0003368,              0.0003368,              0.0003368
                     86,                 2.1731,                 1.2366,                0.97082,                 0.6561,                0.54332,                0.56025,                0.18314,                 2.3245,                 1.3827,                 1.0059,               0.000317,               0.000317,               0.000317
                     87,                 2.1886,                  1.247,                0.98174,                0.56747,                0.48992,                0.45367,                0.12674,                 2.5679,                 1.4878,                 1.0352,              0.0002972,              0.0002972,              0.0002972
                     88,                 2.2161,                 1.2597,                0.98107,                0.64806,                0.55078,                0.55153,                0.17567,                 2.3524,                 1.3828,                 1.0055,              0.0002774,              0.0002774,              0.0002774
                     89,                 2.1744,                 1.2468,                0.96717,                0.71389,                0.61725,                0.63865,                0.22303,                 2.2042,                 1.3152,                0.98387,              0.0002576,              0.0002576,              0.0002576
                     90,                 2.1821,                 1.2389,                0.97212,                0.61623,                0.52166,                0.51496,                0.15946,                 2.3892,                 1.4214,                 1.0103,              0.0002378,              0.0002378,              0.0002378
                     91,                 2.2612,                  1.405,                  1.018,                0.74317,                0.62435,                0.65714,                0.24502,                 2.1456,                 1.2818,                0.97894,               0.000218,               0.000218,               0.000218
                     92,                 2.2051,                 1.2765,                 1.0024,                0.75147,                 0.6176,                0.67435,                0.25293,                 2.1248,                  1.277,                0.97471,              0.0001982,              0.0001982,              0.0001982
                     93,                 2.1254,                 1.2414,                 1.0035,                0.66272,                0.58331,                0.60024,                0.19804,                 2.2827,                 1.3675,                0.99467,              0.0001784,              0.0001784,              0.0001784
                     94,                 2.1288,                 1.2158,                0.99821,                0.66795,                0.56937,                0.57234,                0.18154,                 2.3354,                 1.3791,                 1.0015,              0.0001586,              0.0001586,              0.0001586
                     95,                 2.1224,                 1.2055,                0.99117,                0.72349,                0.63181,                0.66374,                0.23426,                 2.1739,                 1.2886,                0.98051,              0.0001388,              0.0001388,              0.0001388
                     96,                 2.1057,                 1.1912,                0.99751,                0.70781,                0.59671,                 0.6254,                 0.2102,                 2.2311,                 1.3263,                0.98556,               0.000119,               0.000119,               0.000119
                     97,                   2.15,                 1.2285,                0.99149,                0.68924,                0.61202,                0.62877,                0.21193,                 2.2431,                 1.3126,                0.98788,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                  2.126,                 1.1874,                 0.9932,                0.69759,                0.61837,                0.63718,                0.21608,                 2.2317,                 1.3049,                0.98684,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                  2.152,                 1.2098,                0.98576,                0.70322,                0.60433,                0.62842,                0.20887,                 2.2468,                 1.3133,                0.98778,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 2.1466,                 1.2102,                0.98397,                0.70551,                0.60717,                0.63185,                0.21334,                 2.2373,                 1.3112,                0.98719,               3.98e-05,               3.98e-05,               3.98e-05
